Time_Casa,Estado_Time_Casa,Time_Visitante,Estado_Time_Visitante,Gols_Mandante,Gols_Visitante,Temporada,Rodada,Empate,Vencedor,Derrotado,Pontuacao_Casa,Pontuacao_Visitante,Num_Vitorias_Casa,Num_Derrota_Casa,Num_Empate_Casa,Num_Vitorias_Visitante,Num_Derrota_Visitante,Num_Empate_Visitante,Saldo_Mandante,Saldo_Visitante,Total_Pontos_Casa,Total_Vitorias_Casa,Total_Empates_Casa,Total_Derrotas_Casa,Total_Saldo_Casa,Total_Pontos_Visitante,Total_Vitorias_Visitante,Total_Empates_Visitante,Total_Derrotas_Visitante,Total_Saldo_Visitante
Atletico-MG,MG,Corinthians,SP,1,0,2012,2,False,Atletico-MG,Corinthians,3,0,1,0,0,0,1,0,1,-1,72,20,12,6,27,57,15,12,11,12
Coritiba,PR,Botafogo,RJ,2,3,2012,2,False,Botafogo,Coritiba,0,3,0,1,0,1,0,0,-1,1,48,14,6,18,-7,55,15,10,13,10
Sao Paulo,SP,Bahia,BA,1,0,2012,2,False,Sao Paulo,Bahia,3,0,1,0,0,0,1,0,1,-1,66,20,6,12,22,47,11,14,13,-4
Gremio,RS,Palmeiras,SP,1,0,2012,2,False,Gremio,Palmeiras,3,0,1,0,0,0,1,0,1,-1,71,20,11,7,23,34,9,7,22,-15
Fluminense,RJ,Figueirense,SC,2,2,2012,2,True,None,None,1,1,0,0,1,0,0,1,0,0,77,22,11,5,28,30,7,9,22,-33
Atletico-GO,GO,Gremio,RS,0,1,2012,3,False,Gremio,Atletico-GO,0,3,0,1,0,1,0,0,-1,1,27,6,9,23,-32,71,20,11,7,23
Sport,PE,Palmeiras,SP,2,1,2012,3,False,Sport,Palmeiras,3,0,1,0,0,0,1,0,1,-1,41,10,11,17,-17,34,9,7,22,-15
Vasco da Gama,RJ,Nautico,PE,4,2,2012,3,False,Vasco da Gama,Nautico,3,0,1,0,0,0,1,0,2,-2,58,16,10,12,1,49,14,7,17,-7
Atletico-MG,MG,Bahia,BA,1,1,2012,3,True,None,None,1,1,0,0,1,0,0,1,0,0,72,20,12,6,27,47,11,14,13,-4
Coritiba,PR,Portuguesa,SP,2,0,2012,3,False,Coritiba,Portuguesa,3,0,1,0,0,0,1,0,2,-2,48,14,6,18,-7,45,10,15,13,-2
Ponte Preta,SP,Flamengo,RJ,2,2,2012,3,True,None,None,1,1,0,0,1,0,0,1,0,0,48,12,12,14,-7,50,12,14,12,-7
Internacional,RS,Sao Paulo,SP,1,0,2012,3,False,Internacional,Sao Paulo,3,0,1,0,0,0,1,0,1,-1,52,13,13,12,4,66,20,6,12,22
Santos,SP,Fluminense,RJ,1,1,2012,3,True,None,None,1,1,0,0,1,0,0,1,0,0,56,14,14,10,8,77,22,11,5,28
Corinthians,SP,Figueirense,SC,1,1,2012,3,True,None,None,1,1,0,0,1,0,0,1,0,0,57,15,12,11,12,30,7,9,22,-33
Botafogo,RJ,Cruzeiro,MG,2,3,2012,3,False,Cruzeiro,Botafogo,0,3,0,1,0,1,0,0,-1,1,55,15,10,13,10,52,15,7,16,-4
Flamengo,RJ,Coritiba,PR,3,1,2012,4,False,Flamengo,Coritiba,3,0,1,0,0,0,1,0,2,-2,50,12,14,12,-7,48,14,6,18,-7
Palmeiras,SP,Atletico-MG,MG,0,1,2012,4,False,Atletico-MG,Palmeiras,0,3,0,1,0,1,0,0,-1,1,34,9,7,22,-15,72,20,12,6,27
Portuguesa,SP,Atletico-GO,GO,2,0,2012,4,False,Portuguesa,Atletico-GO,3,0,1,0,0,0,1,0,2,-2,45,10,15,13,-2,27,6,9,23,-32
Gremio,RS,Corinthians,SP,2,0,2012,4,False,Gremio,Corinthians,3,0,1,0,0,0,1,0,2,-2,71,20,11,7,23,57,15,12,11,12
Fluminense,RJ,Internacional,RS,0,0,2012,4,True,None,None,1,1,0,0,1,0,0,1,0,0,77,22,11,5,28,52,13,13,12,4
Bahia,BA,Vasco da Gama,RJ,1,2,2012,4,False,Vasco da Gama,Bahia,0,3,0,1,0,1,0,0,-1,1,47,11,14,13,-4,58,16,10,12,1
Nautico,PE,Botafogo,RJ,3,2,2012,4,False,Nautico,Botafogo,3,0,1,0,0,0,1,0,1,-1,49,14,7,17,-7,55,15,10,13,10
Figueirense,SC,Ponte Preta,SP,0,0,2012,4,True,None,None,1,1,0,0,1,0,0,1,0,0,30,7,9,22,-33,48,12,12,14,-7
Cruzeiro,MG,Sport,PE,1,0,2012,4,False,Cruzeiro,Sport,3,0,1,0,0,0,1,0,1,-1,52,15,7,16,-4,41,10,11,17,-17
Sao Paulo,SP,Santos,SP,1,0,2012,4,False,Sao Paulo,Santos,3,0,1,0,0,0,1,0,1,-1,66,20,6,12,22,56,14,14,10,8
Internacional,RS,Botafogo,RJ,1,2,2012,5,False,Botafogo,Internacional,0,3,0,1,0,1,0,0,-1,1,52,13,13,12,4,55,15,10,13,10
Cruzeiro,MG,Figueirense,SC,1,0,2012,5,False,Cruzeiro,Figueirense,3,0,1,0,0,0,1,0,1,-1,52,15,7,16,-4,30,7,9,22,-33
Fluminense,RJ,Portuguesa,SP,4,1,2012,5,False,Fluminense,Portuguesa,3,0,1,0,0,0,1,0,3,-3,77,22,11,5,28,45,10,15,13,-2
Sao Paulo,SP,Atletico-MG,MG,1,0,2012,5,False,Sao Paulo,Atletico-MG,3,0,1,0,0,0,1,0,1,-1,66,20,6,12,22,72,20,12,6,27
Palmeiras,SP,Vasco da Gama,RJ,1,1,2012,5,True,None,None,1,1,0,0,1,0,0,1,0,0,34,9,7,22,-15,58,16,10,12,1
Bahia,BA,Sport,PE,2,1,2012,5,False,Bahia,Sport,3,0,1,0,0,0,1,0,1,-1,47,11,14,13,-4,41,10,11,17,-17
Flamengo,RJ,Santos,SP,1,0,2012,5,False,Flamengo,Santos,3,0,1,0,0,0,1,0,1,-1,50,12,14,12,-7,56,14,14,10,8
Nautico,PE,Gremio,RS,1,0,2012,5,False,Nautico,Gremio,3,0,1,0,0,0,1,0,1,-1,49,14,7,17,-7,71,20,11,7,23
Coritiba,PR,Atletico-GO,GO,3,0,2012,5,False,Coritiba,Atletico-GO,3,0,1,0,0,0,1,0,3,-3,48,14,6,18,-7,27,6,9,23,-32
Ponte Preta,SP,Corinthians,SP,1,0,2012,5,False,Ponte Preta,Corinthians,3,0,1,0,0,0,1,0,1,-1,48,12,12,14,-7,57,15,12,11,12
Vasco da Gama,RJ,Cruzeiro,MG,1,3,2012,6,False,Cruzeiro,Vasco da Gama,0,3,0,1,0,1,0,0,-2,2,58,16,10,12,1,52,15,7,16,-4
Portuguesa,SP,Sao Paulo,SP,1,0,2012,6,False,Portuguesa,Sao Paulo,3,0,1,0,0,0,1,0,1,-1,45,10,15,13,-2,66,20,6,12,22
Atletico-MG,MG,Nautico,PE,5,1,2012,6,False,Atletico-MG,Nautico,3,0,1,0,0,0,1,0,4,-4,72,20,12,6,27,49,14,7,17,-7
Corinthians,SP,Palmeiras,SP,2,1,2012,6,False,Corinthians,Palmeiras,3,0,1,0,0,0,1,0,1,-1,57,15,12,11,12,34,9,7,22,-15
Gremio,RS,Flamengo,RJ,2,0,2012,6,False,Gremio,Flamengo,3,0,1,0,0,0,1,0,2,-2,71,20,11,7,23,50,12,14,12,-7
Figueirense,SC,Bahia,BA,1,1,2012,6,True,None,None,1,1,0,0,1,0,0,1,0,0,30,7,9,22,-33,47,11,14,13,-4
Sport,PE,Internacional,RS,0,2,2012,6,False,Internacional,Sport,0,3,0,1,0,1,0,0,-2,2,41,10,11,17,-17,52,13,13,12,4
Botafogo,RJ,Ponte Preta,SP,1,2,2012,6,False,Ponte Preta,Botafogo,0,3,0,1,0,1,0,0,-1,1,55,15,10,13,10,48,12,12,14,-7
Santos,SP,Coritiba,PR,2,2,2012,6,True,None,None,1,1,0,0,1,0,0,1,0,0,56,14,14,10,8,48,14,6,18,-7
Atletico-GO,GO,Fluminense,RJ,1,4,2012,6,False,Fluminense,Atletico-GO,0,3,0,1,0,1,0,0,-3,3,27,6,9,23,-32,77,22,11,5,28
Nautico,PE,Fluminense,RJ,0,2,2012,7,False,Fluminense,Nautico,0,3,0,1,0,1,0,0,-2,2,49,14,7,17,-7,77,22,11,5,28
Cruzeiro,MG,Sao Paulo,SP,2,3,2012,7,False,Sao Paulo,Cruzeiro,0,3,0,1,0,1,0,0,-1,1,52,15,7,16,-4,66,20,6,12,22
Vasco da Gama,RJ,Ponte Preta,SP,3,2,2012,7,False,Vasco da Gama,Ponte Preta,3,0,1,0,0,0,1,0,1,-1,58,16,10,12,1,48,12,12,14,-7
Coritiba,PR,Sport,PE,2,3,2012,7,False,Sport,Coritiba,0,3,0,1,0,1,0,0,-1,1,48,14,6,18,-7,41,10,11,17,-17
Portuguesa,SP,Santos,SP,0,0,2012,7,True,None,None,1,1,0,0,1,0,0,1,0,0,45,10,15,13,-2,56,14,14,10,8
Bahia,BA,Internacional,RS,1,1,2012,7,True,None,None,1,1,0,0,1,0,0,1,0,0,47,11,14,13,-4,52,13,13,12,4
Gremio,RS,Atletico-MG,MG,0,1,2012,7,False,Atletico-MG,Gremio,0,3,0,1,0,1,0,0,-1,1,71,20,11,7,23,72,20,12,6,27
Palmeiras,SP,Figueirense,SC,3,1,2012,7,False,Palmeiras,Figueirense,3,0,1,0,0,0,1,0,2,-2,34,9,7,22,-15,30,7,9,22,-33
Flamengo,RJ,Atletico-GO,GO,3,2,2012,7,False,Flamengo,Atletico-GO,3,0,1,0,0,0,1,0,1,-1,50,12,14,12,-7,27,6,9,23,-32
Corinthians,SP,Botafogo,RJ,1,3,2012,7,False,Botafogo,Corinthians,0,3,0,1,0,1,0,0,-2,2,57,15,12,11,12,55,15,10,13,10
Botafogo,RJ,Bahia,BA,3,0,2012,8,False,Botafogo,Bahia,3,0,1,0,0,0,1,0,3,-3,55,15,10,13,10,47,11,14,13,-4
Internacional,RS,Cruzeiro,MG,2,1,2012,8,False,Internacional,Cruzeiro,3,0,1,0,0,0,1,0,1,-1,52,13,13,12,4,52,15,7,16,-4
Atletico-GO,GO,Nautico,PE,0,1,2012,8,False,Nautico,Atletico-GO,0,3,0,1,0,1,0,0,-1,1,27,6,9,23,-32,49,14,7,17,-7
Figueirense,SC,Vasco da Gama,RJ,1,1,2012,8,True,None,None,1,1,0,0,1,0,0,1,0,0,30,7,9,22,-33,58,16,10,12,1
Fluminense,RJ,Flamengo,RJ,1,0,2012,8,False,Fluminense,Flamengo,3,0,1,0,0,0,1,0,1,-1,77,22,11,5,28,50,12,14,12,-7
Santos,SP,Gremio,RS,4,2,2012,8,False,Santos,Gremio,3,0,1,0,0,0,1,0,2,-2,56,14,14,10,8,71,20,11,7,23
Sao Paulo,SP,Coritiba,PR,3,1,2012,8,False,Sao Paulo,Coritiba,3,0,1,0,0,0,1,0,2,-2,66,20,6,12,22,48,14,6,18,-7
Ponte Preta,SP,Palmeiras,SP,1,0,2012,8,False,Ponte Preta,Palmeiras,3,0,1,0,0,0,1,0,1,-1,48,12,12,14,-7,34,9,7,22,-15
Sport,PE,Corinthians,SP,1,1,2012,8,True,None,None,1,1,0,0,1,0,0,1,0,0,41,10,11,17,-17,57,15,12,11,12
Atletico-MG,MG,Portuguesa,SP,2,0,2012,8,False,Atletico-MG,Portuguesa,3,0,1,0,0,0,1,0,2,-2,72,20,12,6,27,45,10,15,13,-2
Figueirense,SC,Atletico-MG,MG,3,4,2012,9,False,Atletico-MG,Figueirense,0,3,0,1,0,1,0,0,-1,1,30,7,9,22,-33,72,20,12,6,27
Corinthians,SP,Nautico,PE,2,1,2012,9,False,Corinthians,Nautico,3,0,1,0,0,0,1,0,1,-1,57,15,12,11,12,49,14,7,17,-7
Ponte Preta,SP,Coritiba,PR,4,1,2012,9,False,Ponte Preta,Coritiba,3,0,1,0,0,0,1,0,3,-3,48,12,12,14,-7,48,14,6,18,-7
Bahia,BA,Flamengo,RJ,1,2,2012,9,False,Flamengo,Bahia,0,3,0,1,0,1,0,0,-1,1,47,11,14,13,-4,50,12,14,12,-7
Internacional,RS,Santos,SP,0,0,2012,9,True,None,None,1,1,0,0,1,0,0,1,0,0,52,13,13,12,4,56,14,14,10,8
Cruzeiro,MG,Gremio,RS,1,3,2012,9,False,Gremio,Cruzeiro,0,3,0,1,0,1,0,0,-2,2,52,15,7,16,-4,71,20,11,7,23
Botafogo,RJ,Fluminense,RJ,1,1,2012,9,True,None,None,1,1,0,0,1,0,0,1,0,0,55,15,10,13,10,77,22,11,5,28
Palmeiras,SP,Sao Paulo,SP,1,1,2012,9,True,None,None,1,1,0,0,1,0,0,1,0,0,34,9,7,22,-15,66,20,6,12,22
Vasco da Gama,RJ,Atletico-GO,GO,1,0,2012,9,False,Vasco da Gama,Atletico-GO,3,0,1,0,0,0,1,0,1,-1,58,16,10,12,1,27,6,9,23,-32
Sport,PE,Portuguesa,SP,2,1,2012,9,False,Sport,Portuguesa,3,0,1,0,0,0,1,0,1,-1,41,10,11,17,-17,45,10,15,13,-2
Santos,SP,Botafogo,RJ,0,0,2012,10,True,None,None,1,1,0,0,1,0,0,1,0,0,56,14,14,10,8,55,15,10,13,10
Gremio,RS,Sport,PE,3,1,2012,10,False,Gremio,Sport,3,0,1,0,0,0,1,0,2,-2,71,20,11,7,23,41,10,11,17,-17
Portuguesa,SP,Cruzeiro,MG,0,2,2012,10,False,Cruzeiro,Portuguesa,0,3,0,1,0,1,0,0,-2,2,45,10,15,13,-2,52,15,7,16,-4
Nautico,PE,Ponte Preta,SP,3,0,2012,10,False,Nautico,Ponte Preta,3,0,1,0,0,0,1,0,3,-3,49,14,7,17,-7,48,12,12,14,-7
Sao Paulo,SP,Vasco da Gama,RJ,0,1,2012,10,False,Vasco da Gama,Sao Paulo,0,3,0,1,0,1,0,0,-1,1,66,20,6,12,22,58,16,10,12,1
Atletico-MG,MG,Internacional,RS,3,1,2012,10,False,Atletico-MG,Internacional,3,0,1,0,0,0,1,0,2,-2,72,20,12,6,27,52,13,13,12,4
Flamengo,RJ,Corinthians,SP,0,3,2012,10,False,Corinthians,Flamengo,0,3,0,1,0,1,0,0,-3,3,50,12,14,12,-7,57,15,12,11,12
Fluminense,RJ,Bahia,BA,4,0,2012,10,False,Fluminense,Bahia,3,0,1,0,0,0,1,0,4,-4,77,22,11,5,28,47,11,14,13,-4
Coritiba,PR,Palmeiras,SP,1,1,2012,10,True,None,None,1,1,0,0,1,0,0,1,0,0,48,14,6,18,-7,34,9,7,22,-15
Atletico-GO,GO,Figueirense,SC,3,2,2012,10,False,Atletico-GO,Figueirense,3,0,1,0,0,0,1,0,1,-1,27,6,9,23,-32,30,7,9,22,-33
Sport,PE,Atletico-MG,MG,1,4,2012,11,False,Atletico-MG,Sport,0,3,0,1,0,1,0,0,-3,3,41,10,11,17,-17,72,20,12,6,27
Vasco da Gama,RJ,Santos,SP,2,0,2012,11,False,Vasco da Gama,Santos,3,0,1,0,0,0,1,0,2,-2,58,16,10,12,1,56,14,14,10,8
Corinthians,SP,Portuguesa,SP,1,1,2012,11,True,None,None,1,1,0,0,1,0,0,1,0,0,57,15,12,11,12,45,10,15,13,-2
Internacional,RS,Atletico-GO,GO,4,1,2012,11,False,Internacional,Atletico-GO,3,0,1,0,0,0,1,0,3,-3,52,13,13,12,4,27,6,9,23,-32
Cruzeiro,MG,Flamengo,RJ,1,0,2012,11,False,Cruzeiro,Flamengo,3,0,1,0,0,0,1,0,1,-1,52,15,7,16,-4,50,12,14,12,-7
Figueirense,SC,Sao Paulo,SP,0,2,2012,11,False,Sao Paulo,Figueirense,0,3,0,1,0,1,0,0,-2,2,30,7,9,22,-33,66,20,6,12,22
Palmeiras,SP,Nautico,PE,3,0,2012,11,False,Palmeiras,Nautico,3,0,1,0,0,0,1,0,3,-3,34,9,7,22,-15,49,14,7,17,-7
Bahia,BA,Coritiba,PR,2,2,2012,11,True,None,None,1,1,0,0,1,0,0,1,0,0,47,11,14,13,-4,48,14,6,18,-7
Botafogo,RJ,Gremio,RS,0,1,2012,11,False,Gremio,Botafogo,0,3,0,1,0,1,0,0,-1,1,55,15,10,13,10,71,20,11,7,23
Ponte Preta,SP,Fluminense,RJ,1,2,2012,11,False,Fluminense,Ponte Preta,0,3,0,1,0,1,0,0,-1,1,48,12,12,14,-7,77,22,11,5,28
Figueirense,SC,Internacional,RS,0,1,2012,12,False,Internacional,Figueirense,0,3,0,1,0,1,0,0,-1,1,30,7,9,22,-33,52,13,13,12,4
Ponte Preta,SP,Sport,PE,1,1,2012,12,True,None,None,1,1,0,0,1,0,0,1,0,0,48,12,12,14,-7,41,10,11,17,-17
Vasco da Gama,RJ,Botafogo,RJ,1,0,2012,12,False,Vasco da Gama,Botafogo,3,0,1,0,0,0,1,0,1,-1,58,16,10,12,1,55,15,10,13,10
Nautico,PE,Coritiba,PR,3,4,2012,12,False,Coritiba,Nautico,0,3,0,1,0,1,0,0,-1,1,49,14,7,17,-7,48,14,6,18,-7
Corinthians,SP,Cruzeiro,MG,2,0,2012,12,False,Corinthians,Cruzeiro,3,0,1,0,0,0,1,0,2,-2,57,15,12,11,12,52,15,7,16,-4
Gremio,RS,Fluminense,RJ,1,0,2012,12,False,Gremio,Fluminense,3,0,1,0,0,0,1,0,1,-1,71,20,11,7,23,77,22,11,5,28
Atletico-GO,GO,Sao Paulo,SP,4,3,2012,12,False,Atletico-GO,Sao Paulo,3,0,1,0,0,0,1,0,1,-1,27,6,9,23,-32,66,20,6,12,22
Atletico-MG,MG,Santos,SP,2,0,2012,12,False,Atletico-MG,Santos,3,0,1,0,0,0,1,0,2,-2,72,20,12,6,27,56,14,14,10,8
Flamengo,RJ,Portuguesa,SP,0,0,2012,12,True,None,None,1,1,0,0,1,0,0,1,0,0,50,12,14,12,-7,45,10,15,13,-2
Palmeiras,SP,Bahia,BA,0,2,2012,12,False,Bahia,Palmeiras,0,3,0,1,0,1,0,0,-2,2,34,9,7,22,-15,47,11,14,13,-4
Coritiba,PR,Gremio,RS,2,1,2012,13,False,Coritiba,Gremio,3,0,1,0,0,0,1,0,1,-1,48,14,6,18,-7,71,20,11,7,23
Internacional,RS,Vasco da Gama,RJ,0,0,2012,13,True,None,None,1,1,0,0,1,0,0,1,0,0,52,13,13,12,4,58,16,10,12,1
Botafogo,RJ,Figueirense,SC,1,0,2012,13,False,Botafogo,Figueirense,3,0,1,0,0,0,1,0,1,-1,55,15,10,13,10,30,7,9,22,-33
Sport,PE,Atletico-GO,GO,0,0,2012,13,True,None,None,1,1,0,0,1,0,0,1,0,0,41,10,11,17,-17,27,6,9,23,-32
Sao Paulo,SP,Flamengo,RJ,4,1,2012,13,False,Sao Paulo,Flamengo,3,0,1,0,0,0,1,0,3,-3,66,20,6,12,22,50,12,14,12,-7
Fluminense,RJ,Atletico-MG,MG,0,0,2012,13,True,None,None,1,1,0,0,1,0,0,1,0,0,77,22,11,5,28,72,20,12,6,27
Bahia,BA,Corinthians,SP,0,0,2012,13,True,None,None,1,1,0,0,1,0,0,1,0,0,47,11,14,13,-4,57,15,12,11,12
Cruzeiro,MG,Palmeiras,SP,2,1,2012,13,False,Cruzeiro,Palmeiras,3,0,1,0,0,0,1,0,1,-1,52,15,7,16,-4,34,9,7,22,-15
Portuguesa,SP,Nautico,PE,3,1,2012,13,False,Portuguesa,Nautico,3,0,1,0,0,0,1,0,2,-2,45,10,15,13,-2,49,14,7,17,-7
Santos,SP,Ponte Preta,SP,2,1,2012,13,False,Santos,Ponte Preta,3,0,1,0,0,0,1,0,1,-1,56,14,14,10,8,48,12,12,14,-7
Palmeiras,SP,Internacional,RS,0,1,2012,14,False,Internacional,Palmeiras,0,3,0,1,0,1,0,0,-1,1,34,9,7,22,-15,52,13,13,12,4
Atletico-GO,GO,Botafogo,RJ,1,2,2012,14,False,Botafogo,Atletico-GO,0,3,0,1,0,1,0,0,-1,1,27,6,9,23,-32,55,15,10,13,10
Portuguesa,SP,Figueirense,SC,2,0,2012,14,False,Portuguesa,Figueirense,3,0,1,0,0,0,1,0,2,-2,45,10,15,13,-2,30,7,9,22,-33
Vasco da Gama,RJ,Corinthians,SP,0,0,2012,14,True,None,None,1,1,0,0,1,0,0,1,0,0,58,16,10,12,1,57,15,12,11,12
Gremio,RS,Bahia,BA,3,1,2012,14,False,Gremio,Bahia,3,0,1,0,0,0,1,0,2,-2,71,20,11,7,23,47,11,14,13,-4
Coritiba,PR,Fluminense,RJ,0,2,2012,14,False,Fluminense,Coritiba,0,3,0,1,0,1,0,0,-2,2,48,14,6,18,-7,77,22,11,5,28
Sao Paulo,SP,Sport,PE,1,0,2012,14,False,Sao Paulo,Sport,3,0,1,0,0,0,1,0,1,-1,66,20,6,12,22,41,10,11,17,-17
Cruzeiro,MG,Ponte Preta,SP,1,2,2012,14,False,Ponte Preta,Cruzeiro,0,3,0,1,0,1,0,0,-1,1,52,15,7,16,-4,48,12,12,14,-7
Nautico,PE,Santos,SP,3,0,2012,14,False,Nautico,Santos,3,0,1,0,0,0,1,0,3,-3,49,14,7,17,-7,56,14,14,10,8
Flamengo,RJ,Atletico-MG,MG,2,1,2012,14,False,Flamengo,Atletico-MG,3,0,1,0,0,0,1,0,1,-1,50,12,14,12,-7,72,20,12,6,27
Sport,PE,Vasco da Gama,RJ,0,2,2012,15,False,Vasco da Gama,Sport,0,3,0,1,0,1,0,0,-2,2,41,10,11,17,-17,58,16,10,12,1
Internacional,RS,Nautico,PE,0,0,2012,15,True,None,None,1,1,0,0,1,0,0,1,0,0,52,13,13,12,4,49,14,7,17,-7
Bahia,BA,Portuguesa,SP,0,0,2012,15,True,None,None,1,1,0,0,1,0,0,1,0,0,47,11,14,13,-4,45,10,15,13,-2
Corinthians,SP,Atletico-GO,GO,1,1,2012,15,True,None,None,1,1,0,0,1,0,0,1,0,0,57,15,12,11,12,27,6,9,23,-32
Santos,SP,Cruzeiro,MG,4,2,2012,15,False,Santos,Cruzeiro,3,0,1,0,0,0,1,0,2,-2,56,14,14,10,8,52,15,7,16,-4
Figueirense,SC,Flamengo,RJ,0,2,2012,15,False,Flamengo,Figueirense,0,3,0,1,0,1,0,0,-2,2,30,7,9,22,-33,50,12,14,12,-7
Botafogo,RJ,Palmeiras,SP,1,2,2012,15,False,Palmeiras,Botafogo,0,3,0,1,0,1,0,0,-1,1,55,15,10,13,10,34,9,7,22,-15
Fluminense,RJ,Sao Paulo,SP,2,1,2012,15,False,Fluminense,Sao Paulo,3,0,1,0,0,0,1,0,1,-1,77,22,11,5,28,66,20,6,12,22
Atletico-MG,MG,Coritiba,PR,1,0,2012,15,False,Atletico-MG,Coritiba,3,0,1,0,0,0,1,0,1,-1,72,20,12,6,27,48,14,6,18,-7
Ponte Preta,SP,Gremio,RS,0,0,2012,15,True,None,None,1,1,0,0,1,0,0,1,0,0,48,12,12,14,-7,71,20,11,7,23
Sport,PE,Figueirense,SC,0,1,2012,16,False,Figueirense,Sport,0,3,0,1,0,1,0,0,-1,1,41,10,11,17,-17,30,7,9,22,-33
Bahia,BA,Cruzeiro,MG,0,1,2012,16,False,Cruzeiro,Bahia,0,3,0,1,0,1,0,0,-1,1,47,11,14,13,-4,52,15,7,16,-4
Santos,SP,Atletico-GO,GO,2,2,2012,16,True,None,None,1,1,0,0,1,0,0,1,0,0,56,14,14,10,8,27,6,9,23,-32
Flamengo,RJ,Nautico,PE,2,0,2012,16,False,Flamengo,Nautico,3,0,1,0,0,0,1,0,2,-2,50,12,14,12,-7,49,14,7,17,-7
Internacional,RS,Ponte Preta,SP,2,1,2012,16,False,Internacional,Ponte Preta,3,0,1,0,0,0,1,0,1,-1,52,13,13,12,4,48,12,12,14,-7
Sao Paulo,SP,Gremio,RS,1,2,2012,16,False,Gremio,Sao Paulo,0,3,0,1,0,1,0,0,-1,1,66,20,6,12,22,71,20,11,7,23
Atletico-MG,MG,Vasco da Gama,RJ,1,0,2012,16,False,Atletico-MG,Vasco da Gama,3,0,1,0,0,0,1,0,1,-1,72,20,12,6,27,58,16,10,12,1
Coritiba,PR,Corinthians,SP,1,2,2012,16,False,Corinthians,Coritiba,0,3,0,1,0,1,0,0,-1,1,48,14,6,18,-7,57,15,12,11,12
Fluminense,RJ,Palmeiras,SP,1,0,2012,16,False,Fluminense,Palmeiras,3,0,1,0,0,0,1,0,1,-1,77,22,11,5,28,34,9,7,22,-15
Portuguesa,SP,Botafogo,RJ,1,1,2012,16,True,None,None,1,1,0,0,1,0,0,1,0,0,45,10,15,13,-2,55,15,10,13,10
Gremio,RS,Portuguesa,SP,1,2,2012,17,False,Portuguesa,Gremio,0,3,0,1,0,1,0,0,-1,1,71,20,11,7,23,45,10,15,13,-2
